# Copyright 2026 The keel Authors
# SPDX-License-Identifier: Apache-2.0
#
# INDEX-spread.tsv — one row per preserved pinned8 SPREAD-form archive, the arm that
# closes this era's both-arms condition. A second index rather than rows appended to
# INDEX.tsv, because that file is frozen at the 24 confined archives and says so; an
# unindexed set beside an indexed one is the enumeration gap this file removes.
#
# Membership is the MEASURED predicate, as next door: an archive is spread-form because
# it CARRIES a `doms=`/`nodedoms=` field, never because of its revision or its name. The
# confined arm self-identifies by lacking that field, so the two indexes partition the
# directory by what the artifacts record and the complement of each checks the other.
#
# `kind` uses INDEX.tsv's own vocabulary: `ladder` is a judged sweep (BenchmarkScale plus
# the ceiling arm), `clock-window` is a Peak-only log from the same run. Both arms
# preserve both kinds, which is what lets them be enumerated on the same terms.
#
# columns 1-10 are INDEX.tsv's, so the two indexes read the same way. Added here:
#  11 pin_doms    the cache domain of every masked core (§5 rule 5's spread invariant)
#  12 nodedoms    how many domains the node offered, so the mask's shape is checkable
#  13 instrument  the ceiling instrument version the row was measured by (§5 rule 18)
file	rev	host	cpu_model	logical	gomaxprocs	kind	benches	samples	pin_mask	pin_doms	nodedoms	instrument
bench-gate-p5-6ba6566-20260822T231901Z-1.txt	6ba6566	—	Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz	8 logical	8	clock-window	BenchmarkPeak/avx512	10	mask=0,1,2,3,4,5,6,7 width=8	0,0,0,0,0,0,0,0	1	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260822T231901Z-2.txt	6ba6566	—	AMD EPYC 9R45	8 logical	8	clock-window	BenchmarkPeak/avx512	10	mask=0,8,16,24,32,40,48,56 width=8	0,8,16,24,32,40,48,56	12	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260822T231901Z-3.txt	6ba6566	—	AMD EPYC 9R14	8 logical	8	clock-window	BenchmarkPeak/avx512	10	mask=0,8,16,24,32,40,48,56 width=8	0,8,16,24,32,40,48,56	12	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260822T231901Z-4.txt	6ba6566	—	AMD EPYC 9R14	8 logical	8	clock-window	BenchmarkPeak/avx512	10	mask=0,8,16,24,32,40,48,56 width=8	0,8,16,24,32,40,48,56	12	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260823T004407Z-1.txt	6ba6566	—	Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz	8 logical	8	clock-window	BenchmarkPeak/avx512	30	mask=0,1,2,3,4,5,6,7 width=8	0,0,0,0,0,0,0,0	1	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260823T004407Z-2.txt	6ba6566	—	AMD EPYC 9R45	8 logical	8	clock-window	BenchmarkPeak/avx512	30	mask=0,8,16,24,32,40,48,56 width=8	0,8,16,24,32,40,48,56	12	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260823T004407Z-3.txt	6ba6566	—	AMD EPYC 9R14	8 logical	8	clock-window	BenchmarkPeak/avx512	30	mask=0,8,16,24,32,40,48,56 width=8	0,8,16,24,32,40,48,56	12	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-20260823T004407Z-4.txt	6ba6566	—	AMD EPYC 9R14	8 logical	8	clock-window	BenchmarkPeak/avx512	30	mask=0,8,16,24,32,40,48,56 width=8	0,8,16,24,32,40,48,56	12	— (no ceiling arm in a clock-window log, so no instrument to stamp)
bench-gate-p5-6ba6566-keel-skx-20260822T231901Z-1.txt	6ba6566	keel-skx	Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz	8 logical	8	ladder	BenchmarkCeiling/compute/avx2/threads=1,BenchmarkCeiling/compute/avx2/threads=8,BenchmarkCeiling/compute/avx512/threads=1,BenchmarkCeiling/compute/avx512/threads=8,BenchmarkCeiling/compute/scalar/threads=1,BenchmarkCeiling/compute/scalar/threads=8,BenchmarkCeiling/stream/axpy/threads=1,BenchmarkCeiling/stream/axpy/threads=8,BenchmarkCeiling/stream/dot/threads=1,BenchmarkCeiling/stream/dot/threads=8,BenchmarkPeak/avx2,BenchmarkPeak/avx512,BenchmarkPeak/scalar,BenchmarkScale/Sgemm/n=4096/threads=1,BenchmarkScale/Sgemm/n=4096/threads=8,BenchmarkScale/Ssymm/n=4096/threads=1,BenchmarkScale/Ssymm/n=4096/threads=8,BenchmarkScale/Ssyrk/n=4096/threads=1,BenchmarkScale/Ssyrk/n=4096/threads=8,BenchmarkScale/Strsm/n=4096/threads=1,BenchmarkScale/Strsm/n=4096/threads=8	210	mask=0,1,2,3,4,5,6,7 width=8	0,0,0,0,0,0,0,0	1	v2
bench-gate-p5-6ba6566-keel-skx-20260823T004407Z-1.txt	6ba6566	keel-skx	Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz	8 logical	8	ladder	BenchmarkCeiling/compute/avx2/threads=1,BenchmarkCeiling/compute/avx2/threads=8,BenchmarkCeiling/compute/avx512/threads=1,BenchmarkCeiling/compute/avx512/threads=8,BenchmarkCeiling/compute/scalar/threads=1,BenchmarkCeiling/compute/scalar/threads=8,BenchmarkCeiling/stream/axpy/threads=1,BenchmarkCeiling/stream/axpy/threads=8,BenchmarkCeiling/stream/dot/threads=1,BenchmarkCeiling/stream/dot/threads=8,BenchmarkPeak/avx2,BenchmarkPeak/avx512,BenchmarkPeak/scalar,BenchmarkScale/Sgemm/n=4096/threads=1,BenchmarkScale/Sgemm/n=4096/threads=8,BenchmarkScale/Ssymm/n=4096/threads=1,BenchmarkScale/Ssymm/n=4096/threads=8,BenchmarkScale/Ssyrk/n=4096/threads=1,BenchmarkScale/Ssyrk/n=4096/threads=8,BenchmarkScale/Strsm/n=4096/threads=1,BenchmarkScale/Strsm/n=4096/threads=8	630	mask=0,1,2,3,4,5,6,7 width=8	0,0,0,0,0,0,0,0	1	v2
